RIDGE,PROFILE,OCTS,OCTG,REFERENCE
Gakkel,Western Volcanic Zone,3.2,,Jokat et Schmidt-Aursch 2007
Gakkel,Western Volcanic Zone,1.2,,Jokat et Schmidt-Aursch 2007
Gakkel,Western Volcanic Zone,4.9,,Jokat et Schmidt-Aursch 2007
Gakkel,Western Volcanic Zone,2.5,,Jokat et Schmidt-Aursch 2007
Gakkel,Sparsely Magmatic Zone,2.5,,Jokat et Schmidt-Aursch 2007
Gakkel,Sparsely Magmatic Zone,1.4,,Jokat et Schmidt-Aursch 2007
Gakkel,Sparsely Magmatic Zone,1.9,,Jokat et Schmidt-Aursch 2007
Gakkel,Sparsely Magmatic Zone,2.1,,Jokat et Schmidt-Aursch 2007
Gakkel,Eastern Volcanic Zone,2.7,,Jokat et Schmidt-Aursch 2007
Gakkel,Eastern Volcanic Zone,2.7,,Jokat et Schmidt-Aursch 2007
Gakkel,Eastern Volcanic Zone,2.6,,Jokat et Schmidt-Aursch 2007
Gakkel,Eastern Volcanic Zone,2.7,,Jokat et Schmidt-Aursch 2007
Gakkel,Eastern Volcanic Zone,3.3,,Jokat et Schmidt-Aursch 2007
Gakkel,Eastern Volcanic Zone,2.9,,Jokat et Schmidt-Aursch 2007
Gakkel,Eastern Volcanic Zone,3.5,,Jokat et Schmidt-Aursch 2007
Knipovich,,3.7,,Jokat et Schmidt-Aursch 2007
Knipovich,,5.5,,Jokat et Schmidt-Aursch 2007
Mohns,,4,,Jokat et Schmidt-Aursch 2007
SWIR,,3,,Jokat et Schmidt-Aursch 2007
SWIR,,6,,Jokat et Schmidt-Aursch 2007
Molloy,,4,,Jokat et Schmidt-Aursch 2007
MAR,23oN (21o50 and 23o40N),6.8,4,Purdy and Detrick 1986 (in Cannat 2010) and Maia and Gente 1998
MAR,15o20 and 16o20N,5.4,4,Cannat et al. 2010 and Escartin and Cannat 1999
SWIR,61 and 66E,3.5,3,Cannat et al. 2010 and  Cannat 2003
SWIR,65o30'E-66o30'E Segment 8,4.7,,"Sauter et al. 2004; Muller et al., 1999"
SWIR,Segment 11,,3.9,Sauter et al. 2004
SWIR,Segment 8,,2.9,Sauter et al. 2004
SWIR,65o30'E-66o30'E Paleo-segment 7,2.9,,"Muller et al., 1999; Table 1 in Cannat et al., 2004"
SWIR,65o30'E-66o30'E Paleo-segment 6',4.1,,"Muller et al., 1999; Table 1 in Cannat et al., 2004"
Gakkel,,1.9,,Jokat et al. 2003
Gakkel,,3.3,,Jokat et al. 2003
Gakkel,,,3,Coakley and Cochran 1998
Gakkel,,,4,Coakley and Cochran 1998
Gakkel,Amundsen Basin,,5,Weigelt and Jokat 2001
Gakkel,Amundsen Basin,,6,Weigelt and Jokat 2001
Gakkel,Eurasian Basin,,2,Weigelt and Jokat 2001
Gakkel,Eurasian Basin,,5,Weigelt and Jokat 2001
Gakkel,,,9,Weigelt and Jokat 2001
MAR,Atlantis Fracture Zone,,6,Tucholke and Lin 1994
SWIR,Melville-RTJ,3.7,,Muller et al. 1999
MAR,33oN-35oN segment OH1,5.6,,"Hooft et al., 2000 in Table 1 Cannat et al. 2004"
MAR,33oN-35oN segment OH2,5.7,,"Hooft et al., 2000 in Table 1 Cannat et al. 2004"
MAR,33oN-35oN segment OH3,5.1,,"Hooft et al., 2000 in Table 1 Cannat et al. 2004"
Gakkel,0o,,6,Kristoffersen et al. 1982
Gakkel,0o,,7,Kristoffersen et al. 1982