Time_CrazyFast,Length_VeryFast
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,59.36
9,72.24
10,488.62
11,947.05
12,601.2
13,1306.22
14,1284.83
15,2334.64
16,886.38
17,508.63
18,475.87
19,475.87
20,0
21,1.46
22,0
23,0
24,0
25,0
26,209.13
27,0
28,732.36
29,0
30,0
31,0
32,0
33,12.82
34,2069.33
35,2704.88
36,1588.49
37,1597.12
38,1734.3
39,1722.46
40,0
41,0
42,0
43,0
44,0
45,0
46,18.27
47,0
48,3507.36
49,3588.1
50,4607.13
51,3768.67
52,3883.83
53,4002.26
54,4457.75
55,2774.29
56,0
57,9.15
58,35.43
59,68.24
60,107.82
61,2433.37
62,2920.94
63,2922.17
64,2917.14
65,2907.14
66,2916.25
67,1166.79
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,1532.03
101,1897.99
102,2830.05
103,2802.35
104,2775.15
105,2748.43
106,2722.19
107,2696.42
108,2671.1
109,3607.62
110,376.79
111,486.31
112,480.89
113,475.78
114,470.99
115,466.5
116,462.32
117,1104.42
118,1098.84
119,1093.52
120,0
121,7704.34
122,8084.4
123,8150.55
124,8380.61
125,8728.06
126,9565.65
127,9805.2
128,9996.66
129,10207.1
130,9470.16
131,9750.97
132,9856.43
133,9983.04
134,10059.7
135,10226
136,10403
137,10582.2
138,2913.84
139,3973.16
140,4325.99
141,3866.85
142,3851.23
143,2913.84
144,2913.84
145,2913.84
146,3472.27
147,6150.05
148,4529.82
149,4555.13
150,4581.63
151,5984.32
152,6094.74
153,6209.47
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,4606.4