Time_Fast,Length_Fast
0,11785.8
1,11797
2,12222
3,12290.9
4,12766.3
5,14188.6
6,12900.1
7,11621.7
8,11761.9
9,12373.9
10,13192.7
11,10707.7
12,10989.9
13,10995.6
14,11104
15,12279.1
16,12616.7
17,13549.5
18,13647.2
19,14185.3
20,14945.9
21,14033.1
22,14840.9
23,12750.8
24,14458.5
25,13715.8
26,18229.6
27,19642.9
28,20640.4
29,21884.5
30,22298.5
31,13730.4
32,13654
33,13149.2
34,12947.5
35,17221.5
36,14613.3
37,14078.3
38,19125.8
39,17307.8
40,12283.4
41,13624.9
42,14491.6
43,14687.2
44,18555.7
45,20612.5
46,21661.2
47,21160.5
48,23095.3
49,22101.4
50,18620.7
51,18625.7
52,19320.5
53,21275.7
54,19949.1
55,22908.1
56,21422.3
57,21354.1
58,17187.4
59,17702.6
60,18080.2
61,12603.1
62,14889.5
63,19355.8
64,22591.3
65,24555.4
66,25626.7
67,30348.4
68,30854.2
69,31039.1
70,31407.4
71,31215.1
72,32565.1
73,31494.9
74,29535.3
75,28537.5
76,29049.7
77,29299.8
78,29530.1
79,30525.4
80,31334.3
81,32132.7
82,32196.1
83,22818.8
84,23966.2
85,23945.2
86,32202.8
87,29101.4
88,29064.7
89,28832.8
90,28475.9
91,28241
92,28456.8
93,27639.7
94,29051.7
95,28956.1
96,28949.1
97,28843
98,29220.3
99,28378.9
100,34934.3
101,33933.8
102,33598.3
103,33226.7
104,33721.1
105,32787.9
106,32618.5
107,33145.7
108,33983.5
109,33307
110,42350.1
111,40660.1
112,41097.4
113,41138.5
114,42029.8
115,41268.6
116,44048.5
117,43889.5
118,44001.7
119,43744.4
120,41646.5
121,36773.3
122,36378.3
123,35515.3
124,34912.5
125,34507
126,35389.2
127,35101.8
128,36650.2
129,33754.3
130,32013.2
131,34203.9
132,30043.5
133,29448.7
134,29618.4
135,36081.1
136,33174.2
137,34260
138,38316.8
139,37142.3
140,35029.2
141,35596.2
142,36044.9
143,35628.8
144,35177.7
145,30771.5
146,26075.6
147,26746.9
148,26663.3
149,26573.3
150,26706.1
151,26747.2
152,25347.7
153,25140.6
154,30286.2
155,26224
156,28931.6
157,30100.8
158,29144.9
159,28991.2
160,23323.5
161,23225.7
162,23148.7
163,23096
164,25109.6
165,28525.1
166,28495.7
167,28466.7
168,29186.3
169,29996.8
170,29896.3
171,29777.1
172,29656.2
173,29534.8
174,29876.7
175,29373.7
176,29242.5
177,29113.7
178,28986
179,28859.7
180,25480.8
181,28854.6
182,28861
183,28889.4
184,28931.8
185,29075
186,29131.9
187,29074.4
188,29405
189,29287.4
190,26304.9
191,31733.2
192,31792.5
193,31982.5
194,31862.4
195,31822.6
196,31852.1
197,31902.9
198,31835.9
199,31166.2
200,30033.1
201,28533.4
202,28623.7
203,29168.3
204,29294.7
205,29361.8
206,29331.1
207,29297.8
208,29273
209,29253.7
210,29258.2
211,29497.7
212,29489.4
213,29481.5
214,29463
215,29438.4
216,29425.5
217,29391.4
218,29351.4
219,29304.8
220,29249
221,34799.5
222,34745.5
223,34691.9
224,34638.6
225,34565.5
226,34485.8
227,34418.6
228,34356.2
229,34516.2
230,26939.3