Time_Intermediate,Length_Intermediate
0,9926
1,8502.18
2,9642.94
3,9720.53
4,10476.6
5,8461.27
6,10152.4
7,11382.9
8,11122.6
9,10237
10,10930.5
11,9474.44
12,10454.8
13,9350.99
14,9159.04
15,8930.46
16,8928.41
17,9937.28
18,9742.99
19,10561
20,10527.6
21,11160.9
22,10972.4
23,11945.9
24,12151.3
25,11870.6
26,12254.5
27,7419.7
28,5973.6
29,5706.35
30,5312.83
31,11580
32,11708.8
33,11016.7
34,9092.71
35,11031.6
36,7980.19
37,8234.56
38,4053.96
39,4910.15
40,3611.6
41,4421.13
42,4950.32
43,5082.56
44,4042.81
45,4532.87
46,3240.23
47,5593.07
48,3104.89
49,3406.09
50,4183.52
51,4698.7
52,5650.26
53,5085.42
54,6061.01
55,5459.43
56,9446.73
57,9077.46
58,9690.23
59,9615.23
60,8539.44
61,15059.3
62,13362.8
63,12157.2
64,11400.5
65,10484.5
66,10901.7
67,7954.99
68,12063.6
69,12100.7
70,12420.7
71,10997.2
72,10845.5
73,9898.71
74,9332.37
75,10485.5
76,7998.52
77,9660.62
78,9499.83
79,11299.6
80,11253.8
81,9749.34
82,9700.36
83,4343.52
84,6940.96
85,7369.98
86,8207.74
87,8587.67
88,7963.99
89,8154.04
90,8060.56
91,8669.14
92,8207.06
93,8166.24
94,7903.66
95,6319.05
96,6199.33
97,6144.02
98,6087.71
99,5777.43
100,14030.8
101,16685.2
102,16414.7
103,13661.4
104,13610.7
105,15072
106,15418.2
107,15714.2
108,15399.5
109,14518.9
110,12476.3
111,9886.49
112,9849.22
113,9974.17
114,10558.7
115,9533.46
116,9400.22
117,9150.47
118,6984.31
119,6809.04
120,4070.41
121,8676.29
122,8863.5
123,7485.38
124,9185.24
125,9618.02
126,18329.7
127,15951
128,10504.8
129,11634.1
130,13724.9
131,15242.9
132,14267.4
133,15193.2
134,15039.1
135,8281.74
136,8158.34
137,8338.76
138,6190.68
139,5993.02
140,11210.9
141,11210.7
142,11214.2
143,10569.9
144,10540.4
145,13540.5
146,15120
147,13231.1
148,13162.8
149,11344.9
150,10942.7
151,8627.31
152,9794.02
153,9757.96
154,6241.9
155,6331.71
156,5593.24
157,4280.45
158,5060.51
159,5018.24
160,4975.65
161,4932.18
162,4887.87
163,4842.73
164,8038.26
165,4751.54
166,4709.6
167,4667.45
168,3909.61
169,3921.27
170,3918.64
171,3915.79
172,3912.72
173,3909.44
174,3905.95
175,3902.23
176,3898.29
177,3894.13
178,3889.74
179,3885.13
180,6587.2
181,3604.87
182,3584.24
183,3563.44
184,3542.47
185,2176.84
186,1766.76
187,1835.75
188,1905.61
189,1976.3
190,1150.18
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,42.19
199,12.89
200,1155.04
201,2712.38
202,2707.08
203,2701.7
204,2696.22
205,2690.65
206,2684.99
207,2679.23
208,2673.38
209,2667.44
210,2661.4
211,2731.47
212,2725.24
213,2718.91
214,2712.48
215,2705.95
216,2700.68
217,2696.88
218,2693
219,2689.02
220,2684.95
221,1011.22
222,1006.98
223,1002.64
224,998.22
225,993.71
226,989.1
227,984.41
228,979.62
229,974.74
230,969.77