Time_Slow,Length_Slow
0,23468.2
1,22755
2,24034.7
3,24645.9
4,24834.4
5,24257.8
6,24389.4
7,22722.9
8,22802.4
9,24329.1
10,23347.5
11,29943.3
12,26676.7
13,27154.7
14,27594.3
15,32634.2
16,29545.3
17,28322.8
18,27960.1
19,28718.9
20,28128.9
21,29458.1
22,29093.4
23,26816
24,27561.7
25,26123.7
26,30578.1
27,34610.2
28,31573.8
29,33812.6
30,32754.4
31,32185
32,32383
33,33464.6
34,33644.4
35,31420.4
36,35559.6
37,34939.8
38,33639.8
39,34388.2
40,39873.5
41,33973.3
42,34334.9
43,33358.5
44,29133.2
45,28280.3
46,30072.4
47,28581.3
48,37392.5
49,37161.4
50,37187.5
51,36820.8
52,43098.2
53,44036
54,43822
55,43283
56,37412.5
57,37053.2
58,34174.6
59,34961.5
60,36035.4
61,29576.2
62,27839.2
63,25692.9
64,27873.8
65,26422.3
66,26279.7
67,25607.4
68,28471.2
69,27478.4
70,26789.3
71,26542.7
72,26490.5
73,27695.8
74,30114.1
75,27837
76,28293.4
77,26637.3
78,27598.1
79,27792.7
80,23096.9
81,23944
82,23776.4
83,31065.7
84,27111
85,20218
86,23570.9
87,23869.2
88,22257.5
89,21983.5
90,22005.5
91,22600.2
92,22165.3
93,22412.4
94,22531.3
95,23305.8
96,24835.4
97,23570.8
98,23624.6
99,24039.1
100,14414.8
101,19936.9
102,19909.1
103,25815.3
104,25729.7
105,25544.6
106,26126.5
107,25557.4
108,24709.5
109,26497.5
110,24642.4
111,25167.2
112,24686.7
113,24891.3
114,25637.5
115,25567.2
116,25235.7
117,24500.8
118,26977.8
119,27851.8
120,27107.6
121,31316.7
122,31411.2
123,32746.3
124,31072.8
125,22648.5
126,10237.7
127,10815
128,14491.9
129,13916.5
130,17892.3
131,19795.6
132,20800.7
133,20199.9
134,19832.5
135,19527.6
136,19986.3
137,20522.5
138,28339
139,26295.9
140,23009.5
141,22891.3
142,22818.9
143,22651.5
144,22633.2
145,20328.5
146,19441
147,21477.9
148,21294.8
149,25834.9
150,26019.4
151,25447
152,26506.4
153,26339.2
154,23460.7
155,19458.5
156,14444.2
157,14118.2
158,13307.2
159,13128.8
160,18031
161,17701.4
162,17418.6
163,17039
164,11167
165,5655.36
166,5343.69
167,5259.17
168,6125.74
169,6972.3
170,5316.45
171,5384.06
172,5361.24
173,5334.83
174,5305.48
175,4811.53
176,4881.07
177,4885.12
178,4969.92
179,5054.62
180,5692.43
181,5415.11
182,5427.79
183,5477.5
184,5609.17
185,6954.22
186,7344.25
187,7282.22
188,7230.2
189,7176.42
190,10149.7
191,6121.37
192,6089.16
193,6056.77
194,6024.2
195,5991.47
196,5958.56
197,6705.73
198,6630.33
199,6626.25
200,3845.97
201,7176.67
202,7156.7
203,7136.67
204,7116.57
205,7096.4
206,7076.17
207,6362.01
208,6341.65
209,5782.21
210,6997.34
211,6166.88
212,6297.26
213,5738.13
214,5567.84
215,5548.57
216,5227.53
217,5192.9
218,5158.39
219,5123.68
220,3883.5
221,2293.3
222,2290.8
223,2288.28
224,2285.75
225,2283.19
226,2280.63
227,2278.04
228,2275.43
229,2272.81
230,2270.18