Time_Ultraslow,Length_Ultraslow
0,22506
1,21780.4
2,19310.6
3,18061.8
4,16749.5
5,16780.2
6,18672.5
7,19996.6
8,19239.1
9,18602.1
10,17930.3
11,14895.3
12,14908.3
13,14229
14,14351.9
15,12600.8
16,8617.3
17,9425.68
18,9367.23
19,9492.52
20,9863.67
21,11658.2
22,11199.8
23,13720.4
24,9777.65
25,10839.3
26,14622
27,14784.2
28,13721.1
29,12557.3
30,14233.7
31,13394.5
32,13574.1
33,17041.7
34,16910.2
35,13309.7
36,13424.1
37,12399.3
38,14560.6
39,14514.4
40,18317.9
41,17517.4
42,16187.7
43,15985.6
44,18052.2
45,15775
46,13083.4
47,12392.6
48,4447.99
49,2824.37
50,5042.03
51,5618.55
52,6715.41
53,4234.25
54,4342.53
55,4148.78
56,10287.6
57,12299
58,19124.8
59,14631.6
60,14778.6
61,13855.9
62,13346.1
63,13356.4
64,10942.8
65,11167.5
66,10669.9
67,9831.09
68,7795.47
69,8888.69
70,8728.84
71,11175.2
72,10918.3
73,11525.5
74,10684.6
75,7880.99
76,10431
77,11371.4
78,11194.6
79,7372.22
80,6756.03
81,6614.75
82,6612.67
83,20371.5
84,10418.3
85,17198.9
86,17461.4
87,17018.3
88,16613.8
89,16668.8
90,16783.4
91,13396.2
92,13398.2
93,13365.5
94,12464.7
95,13760.6
96,12834.9
97,13294.7
98,12761
99,12375.4
100,8276.45
101,6966.45
102,6986.42
103,3714.3
104,3706.05
105,3724.84
106,3360.25
107,3456.44
108,3658.72
109,3543.31
110,3453.88
111,3603.96
112,3874.5
113,3759.25
114,3542.44
115,3457.61
116,5083.19
117,5091.18
118,5080.32
119,4359.3
120,7314.59
121,6465.74
122,6564.47
123,7846.53
124,7819.55
125,13361.7
126,19017.2
127,20520.5
128,20233.3
129,20808.7
130,16398.4
131,13702.9
132,14803.4
133,14201.3
134,14205.1
135,14426.5
136,14685.6
137,15618.5
138,16236.1
139,15070.3
140,14803.5
141,13696.6
142,13670.3
143,11361.4
144,11237.4
145,12595.4
146,5674.2
147,4876.86
148,4869.54
149,4862.63
150,5140.66
151,3004.43
152,3009.97
153,3015.49
154,5455.88
155,4525.27
156,1811.38
157,2019.23
158,2706.86
159,2776.93
160,3268.88
161,3511.09
162,3656.61
163,3896.59
164,4391.53
165,11134.3
166,12331
167,12291.3
168,11251.1
169,10894.6
170,12354
171,10645.2
172,10501.4
173,10357.5
174,10213.6
175,10290.3
176,10054.7
177,9790.23
178,9526.87
179,9265.39
180,9005.56
181,4160.4
182,3948.35
183,3735.56
184,3515.57
185,3293.02
186,3070.15
187,2847.11
188,2624.01
189,2400.98
190,2181.3
191,1908.56
192,1908.06
193,1907.6
194,1907.16
195,1906.75
196,1895.74
197,1117.31
198,1119.1
199,1120.9
200,3630.77
201,5
202,5
203,5
204,5
205,5
206,5
207,698.87
208,698.87
209,1237.88
210,5
211,698.87
212,698.87
213,1237.88
214,1237.88
215,1237.88
216,1539.55
217,1554.7
218,1569.49
219,1583.92
220,2803.72
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,5